1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1000,11300 WESTBROOK MILL LN,FAIRFAX,VA,22030
1,LARC-23-7,LARCENY - THEFT OF MOTOR VEHICLE PARTS,2024-11-03,0945,14300 CHANTILLY CROSSING LN,CHANTILLY,VA,20151
1,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2024-11-03,1126,5500 CAITHNESS CT,FAIRFAX,VA,22032
2,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2024-11-03,1126,5500 CAITHNESS CT,FAIRFAX,VA,22032
3,ANML-90Z-7,ANIMAL - OTHER ANIMAL CODE VIOLATION,2024-11-03,1126,5500 CAITHNESS CT,FAIRFAX,VA,22032
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1022,8700 OLD DOMINION DR,MCLEAN,VA,22102
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1117,2500 CHAIN BRIDGE RD,VIENNA,VA,22181
1,SERV-5,SERVICE - ANIMAL DESTROYED BY CHEMICAL,2024-11-03,1148,8300 JUDY WITT LN,VIENNA,VA,22182
1,BURG-220-3,BURGLARY/BREAKING AND ENTERING,2024-11-03,1139,4000 LEES CORNER RD,CHANTILLY,VA,20151
2,LARC-23-12,LARCENY - ANIMALS/LIVESTOCK,2024-11-03,1139,4000 LEES CORNER RD,CHANTILLY,VA,20151
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1222,4300 BACKLICK RD,ANNANDALE,VA,22003
2,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-03,1235,6900 BRADLICK SHOPPING CTR,ANNANDALE,VA,22003
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1235,6900 BRADLICK SHOPPING CTR,ANNANDALE,VA,22003
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-03,1156,8100 LEESBURG PIKE,VIENNA,VA,22182
1,ASSLT-13A-1,ASSAULT - AGGRAVATED,2024-11-03,1229,3100 PATRICK HENRY DR,FALLS CHURCH,VA,22044
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1327,3100 JERMANTOWN RD,OAKTON,VA,22124
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,1240,6500 COLUMBIA PIKE,ANNANDALE,VA,22003
1,SERV-23,SERVICE - MISSING ADULT,2024-11-03,1314,6100 UNION VILLAGE DR,CLIFTON,VA,20124
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1230,8300 LEESBURG PIKE,VIENNA,VA,22182
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1326,7400 LITTLE RIVER TPKE,ANNANDALE,VA,22003
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1337,3500 SOUTH JEFFERSON ST,FALLS CHURCH,VA,22041
1,ANML-4,ANIMAL - SERVICE - WILD,2024-11-03,1252,2700 DORR AVE,FAIRFAX,VA,22031
2,SERV-5,SERVICE - ANIMAL DESTROYED BY CHEMICAL,2024-11-03,1252,2700 DORR AVE,FAIRFAX,VA,22031
0,SUSP-2,SUSPICIOUS - PERSON,2024-11-03,1313,12200 FAIRFAX TOWNE CTR,FAIRFAX,VA,22033
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,0912,7900 ETHAN ALLEN LN,ANNANDALE,VA,22003
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1320,15600 BRADDOCK RD,CENTREVILLE,VA,20120
1,TRES-90J-7,TRESPASSING - UNLAWFUL ENTRY,2024-11-03,1336,1800 WIEHLE AVE,RESTON,VA,20190
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2024-11-03,1404,8300 HARLAND DR,SPRINGFIELD,VA,22152
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1424,6100 LARSTAN DR,ALEXANDRIA,VA,22312
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1421,3300 PEACOCK PL,ALEXANDRIA,VA,22306
1,AUTO-240-4,AUTO THEFT - AUTOS,2024-11-03,1223,1700 TYSONS BLVD,MCLEAN,VA,22102
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1429,4100 WADSWORTH CT,ANNANDALE,VA,22003
1,DEST-290-6,DESTRUCTION - OTHER,2024-11-03,1245,4200 JOHN MARR DR,ANNANDALE,VA,22003
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1615,12000 TOWN SQUARE ST,RESTON,VA,20190
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,1535,6000 BURKE CENTRE PKWY,BURKE,VA,22015
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1437,1800 CAMERON GLEN DR,RESTON,VA,20190
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,1635,6700 AMLONG AVE,ALEXANDRIA,VA,22306
1,SERV-2,SERVICE - CIVIL DISPUTE,2024-11-03,1605,6500 SPRINGFIELD MALL,SPRINGFIELD,VA,22150
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,1642,5200 MONROE DR,SPRINGFIELD,VA,22151
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1634,11800 SOUTH LAKES DR,RESTON,VA,20191
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2024-11-03,1530,7900 HERITAGE DR,ANNANDALE,VA,22003
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1646,1500 LINCOLN WAY,MCLEAN,VA,22102
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,1618,11900 PARKSIDE DR,FAIRFAX,VA,22033
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1614,6300 SPRINGFIELD PLZ,SPRINGFIELD,VA,22150
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,2024-11-03,1648,8400 OLD KEENE MILL RD,SPRINGFIELD,VA,22152
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1543,8100 RUSSELL RD,ALEXANDRIA,VA,22309
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1645,8600 VENOY CT,ALEXANDRIA,VA,22309
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,1728,3600 DANNYS LN,ALEXANDRIA,VA,22311
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1646,6100 FRANCONIA RD,ALEXANDRIA,VA,22310
1,SERV-2,SERVICE - CIVIL DISPUTE,2024-11-03,1725,7600 TREMAYNE PL,MCLEAN,VA,22102
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1740,7500 CALDERON CT,ALEXANDRIA,VA,22306
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,1726,6500 SPRINGFIELD MALL,SPRINGFIELD,VA,22150
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1816,4300 HOLLOWSTONE CT,CHANTILLY,VA,20151
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1815,7700 RICHMOND HWY,ALEXANDRIA,VA,22306
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,1704,2000 PEACH ORCHARD DR,FALLS CHURCH,VA,22043
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,1300, CENTREVILLE RD / ROUTE 29,CENTREVILLE,VA,20121
1,ASSLT-13B-2,ASSAULT - SIMPLE ASSAULT ON LEO,2024-11-03,1830,3300 GALLOWS RD,FALLS CHURCH,VA,22042
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2024-11-03,1735,2000 GREAT FALLS ST,FALLS CHURCH,VA,22043
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1818,3800 PINEWOOD TER,FALLS CHURCH,VA,22041
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2024-11-03,1735,6400 GAINER ST,ANNANDALE,VA,22003
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2024-11-03,1735,6400 GAINER ST,ANNANDALE,VA,22003
3,ANML-90Z-2,ANIMAL - RABIES CERTIFICATE VIOLATION,2024-11-03,1735,6400 GAINER ST,ANNANDALE,VA,22003
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2024-11-03,1745,5800 TRINITY PKWY,CENTREVILLE,VA,20120
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1859,8200 WILLOW OAKS CORPORATE DR,FAIRFAX,VA,22031
1,WEAP-520-3,WEAPONS - UNLAWFUL DISCHARGE/RECKLESS HANDLING,2024-11-03,1853,11500 POPES HEAD RD,FAIRFAX,VA,22030
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1651,13600 NEIL ARMSTRONG AVE,HERNDON,VA,20171
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1916,3300 CANNONGATE RD,FAIRFAX,VA,22031
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1921,6100 ARLINGTON BLVD,FALLS CHURCH,VA,22044
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1905,3000 NUTLEY ST,FAIRFAX,VA,22031
